blob 110 ->	 a=    112	 p=   78.77 (    0.00 extern)	 pconvex=   48.06	 ext=0	 c=4.41	 l=   36.30
blob 111 ->	 a=    118	 p=   79.84 (    0.00 extern)	 pconvex=   48.96	 ext=0	 c=4.32	 l=   36.72
blob 112 ->	 a=    112	 p=   77.60 (    0.00 extern)	 pconvex=   47.84	 ext=0	 c=4.28	 l=   35.66
blob 113 ->	 a=    110	 p=   78.18 (    0.00 extern)	 pconvex=   47.65	 ext=0	 c=4.44	 l=   36.05
blob 114 ->	 a=    109	 p=   79.60 (    0.00 extern)	 pconvex=   48.35	 ext=0	 c=4.63	 l=   36.84
blob 115 ->	 a=    118	 p=   79.60 (    0.00 extern)	 pconvex=   49.05	 ext=0	 c=4.27	 l=   36.57
blob 116 ->	 a=    107	 p=   78.77 (    0.00 extern)	 pconvex=   47.62	 ext=0	 c=4.61	 l=   36.45
blob 117 ->	 a=    106	 p=   76.77 (    0.00 extern)	 pconvex=   47.26	 ext=0	 c=4.42	 l=   35.39
blob 118 ->	 a=    116	 p=   79.60 (    0.00 extern)	 pconvex=   48.95	 ext=0	 c=4.35	 l=   36.63
blob 119 ->	 a=    123	 p=   79.60 (    0.00 extern)	 pconvex=   49.45	 ext=0	 c=4.10	 l=   36.42
blob 120 ->	 a=    132	 p=   76.77 (    0.00 extern)	 pconvex=   49.63	 ext=0	 c=3.55	 l=   34.57
blob 121 ->	 a=    189	 p=   57.80 (    0.00 extern)	 pconvex=   53.70	 ext=0	 c=1.41	 l=   18.90
blob 122 ->	 a=    112	 p=   74.28 (    0.00 extern)	 pconvex=   54.12	 ext=0	 c=3.92	 l=   33.83
blob 123 ->	 a=    122	 p=   50.38 (    0.00 extern)	 pconvex=   46.52	 ext=0	 c=1.65	 l=   18.61
blob 124 ->	 a=    109	 p=   44.97 (    0.00 extern)	 pconvex=   41.81	 ext=0	 c=1.48	 l=   15.41
blob 125 ->	 a=     70	 p=  106.91 (    0.00 extern)	 pconvex=   56.55	 ext=0	 c=12.99	 l=   52.11
blob 126 ->	 a=     61	 p=   59.46 (    0.00 extern)	 pconvex=   43.82	 ext=0	 c=4.61	 l=   27.51
blob 127 ->	 a=     96	 p=   94.91 (    0.00 extern)	 pconvex=   52.38	 ext=0	 c=7.47	 l=   45.34
blob 128 ->	 a=    104	 p=   61.94 (    0.00 extern)	 pconvex=   52.07	 ext=0	 c=2.94	 l=   27.14
blob 129 ->	 a=     44	 p=   44.73 (    0.00 extern)	 pconvex=   42.70	 ext=0	 c=3.66	 l=   20.21
blob 130 ->	 a=     80	 p=   62.53 (    0.00 extern)	 pconvex=   54.45	 ext=0	 c=3.91	 l=   28.47
blob 131 ->	 a=     60	 p=   54.97 (    0.00 extern)	 pconvex=   51.39	 ext=0	 c=4.01	 l=   25.09
blob 132 ->	 a=     62	 p=   55.31 (    0.00 extern)	 pconvex=   52.66	 ext=0	 c=3.93	 l=   25.20
blob 133 ->	 a=     52	 p=   48.97 (    0.00 extern)	 pconvex=   45.31	 ext=0	 c=3.67	 l=   22.14
blob 134 ->	 a=    108	 p=   79.60 (    0.00 extern)	 pconvex=   48.07	 ext=0	 c=4.67	 l=   36.87
blob 135 ->	 a=    128	 p=   78.18 (    0.00 extern)	 pconvex=   49.08	 ext=0	 c=3.82	 l=   35.50
blob 136 ->	 a=    115	 p=   78.77 (    0.00 extern)	 pconvex=   48.51	 ext=0	 c=4.29	 l=   36.21
blob 137 ->	 a=    104	 p=   77.94 (    0.00 extern)	 pconvex=   47.63	 ext=0	 c=4.65	 l=   36.09
blob 138 ->	 a=     89	 p=   77.94 (    0.00 extern)	 pconvex=   46.26	 ext=0	 c=5.43	 l=   36.53
blob 139 ->	 a=     52	 p=   41.31 (    0.00 extern)	 pconvex=   40.01	 ext=0	 c=2.61	 l=   17.72
blob 140 ->	 a=     56	 p=   58.63 (    0.00 extern)	 pconvex=   46.38	 ext=0	 c=4.88	 l=   27.26
blob 141 ->	 a=     54	 p=   48.73 (    0.00 extern)	 pconvex=   45.86	 ext=0	 c=3.47	 l=   21.87
blob 142 ->	 a=    121	 p=   78.77 (    0.00 extern)	 pconvex=   49.09	 ext=0	 c=4.08	 l=   36.03
blob 143 ->	 a=    177	 p=   50.63 (    0.00 extern)	 pconvex=   48.65	 ext=0	 c=1.15	 l=   13.98
blob 144 ->	 a=    176	 p=   50.04 (    0.00 extern)	 pconvex=   48.40	 ext=0	 c=1.14	 l=   14.03
blob 145 ->	 a=    110	 p=   79.36 (    0.00 extern)	 pconvex=   48.43	 ext=0	 c=4.54	 l=   36.66
blob 146 ->	 a=    120	 p=   78.18 (    0.00 extern)	 pconvex=   48.86	 ext=0	 c=4.04	 l=   35.72
blob 147 ->	 a=     54	 p=   48.38 (    0.00 extern)	 pconvex=   44.99	 ext=0	 c=3.42	 l=   21.68
blob 148 ->	 a=     82	 p=   56.73 (    0.00 extern)	 pconvex=   54.72	 ext=0	 c=3.10	 l=   25.07
blob 149 ->	 a=     74	 p=   55.56 (    0.00 extern)	 pconvex=   52.68	 ext=0	 c=3.34	 l=   24.82
blob 150 ->	 a=    101	 p=   78.77 (    0.00 extern)	 pconvex=   47.41	 ext=0	 c=4.89	 l=   36.63
blob 151 ->	 a=    101	 p=   79.60 (    0.00 extern)	 pconvex=   47.56	 ext=0	 c=4.99	 l=   37.07
blob 152 ->	 a=     99	 p=   79.60 (    0.00 extern)	 pconvex=   47.41	 ext=0	 c=5.09	 l=   37.13
blob 153 ->	 a=    100	 p=   79.60 (    0.00 extern)	 pconvex=   47.74	 ext=0	 c=5.04	 l=   37.10
blob 154 ->	 a=    172	 p=   48.63 (    0.00 extern)	 pconvex=   47.74	 ext=0	 c=1.09	 l=   14.15
blob 155 ->	 a=    108	 p=   79.01 (    0.00 extern)	 pconvex=   47.95	 ext=0	 c=4.58	 l=   36.54
blob 156 ->	 a=    104	 p=   79.60 (    0.00 extern)	 pconvex=   47.89	 ext=0	 c=4.85	 l=   36.99
blob 157 ->	 a=    100	 p=   79.60 (    0.00 extern)	 pconvex=   47.66	 ext=0	 c=5.04	 l=   37.10
blob 158 ->	 a=    172	 p=   48.63 (    0.00 extern)	 pconvex=   47.74	 ext=0	 c=1.09	 l=   14.15
blob 159 ->	 a=    169	 p=   48.63 (    0.00 extern)	 pconvex=   47.67	 ext=0	 c=1.11	 l=   13.90
blob 160 ->	 a=    102	 p=   79.60 (    0.00 extern)	 pconvex=   47.77	 ext=0	 c=4.94	 l=   37.05
blob 161 ->	 a=    103	 p=   79.60 (    0.00 extern)	 pconvex=   47.74	 ext=0	 c=4.90	 l=   37.02
blob 162 ->	 a=    106	 p=   80.18 (    0.00 extern)	 pconvex=   48.32	 ext=0	 c=4.80	 l=   37.23
blob 163 ->	 a=    112	 p=   79.60 (    0.00 extern)	 pconvex=   48.57	 ext=0	 c=4.50	 l=   36.75
blob 164 ->	 a=    102	 p=   79.36 (    0.00 extern)	 pconvex=   47.60	 ext=0	 c=4.89	 l=   36.90
blob 165 ->	 a=    172	 p=   48.63 (    0.00 extern)	 pconvex=   47.74	 ext=0	 c=1.09	 l=   14.15
blob 166 ->	 a=    104	 p=   79.01 (    0.00 extern)	 pconvex=   47.59	 ext=0	 c=4.80	 l=   36.68
blob 167 ->	 a=    104	 p=   79.60 (    0.00 extern)	 pconvex=   47.74	 ext=0	 c=4.85	 l=   36.99
blob 168 ->	 a=    118	 p=   78.18 (    0.00 extern)	 pconvex=   48.81	 ext=0	 c=4.14	 l=   35.81
blob 169 ->	 a=    183	 p=   51.46 (    0.00 extern)	 pconvex=   49.62	 ext=0	 c=1.15	 l=   14.23
blob 170 ->	 a=    185	 p=   51.46 (    0.00 extern)	 pconvex=   50.00	 ext=0	 c=1.14	 l=   14.38
blob 171 ->	 a=    179	 p=   49.80 (    0.00 extern)	 pconvex=   48.73	 ext=0	 c=1.10	 l=   14.38
blob 172 ->	 a=    112	 p=   79.60 (    0.00 extern)	 pconvex=   48.32	 ext=0	 c=4.50	 l=   36.75
blob 173 ->	 a=    106	 p=   79.01 (    0.00 extern)	 pconvex=   47.74	 ext=0	 c=4.66	 l=   36.60
blob 174 ->	 a=    103	 p=   79.60 (    0.00 extern)	 pconvex=   47.56	 ext=0	 c=4.90	 l=   37.02
blob 175 ->	 a=    108	 p=   79.60 (    0.00 extern)	 pconvex=   48.05	 ext=0	 c=4.67	 l=   36.87
blob 176 ->	 a=    112	 p=   78.18 (    0.00 extern)	 pconvex=   48.20	 ext=0	 c=4.36	 l=   35.99
blob 177 ->	 a=    182	 p=   50.04 (    0.00 extern)	 pconvex=   49.35	 ext=0	 c=1.09	 l=   14.59
blob 178 ->	 a=    179	 p=   49.80 (    0.00 extern)	 pconvex=   48.73	 ext=0	 c=1.10	 l=   14.38
blob 179 ->	 a=    107	 p=   79.60 (    0.00 extern)	 pconvex=   48.02	 ext=0	 c=4.71	 l=   36.90
blob 180 ->	 a=    110	 p=   79.36 (    0.00 extern)	 pconvex=   48.38	 ext=0	 c=4.54	 l=   36.66
blob 181 ->	 a=    102	 p=   79.01 (    0.00 extern)	 pconvex=   47.51	 ext=0	 c=4.89	 l=   36.74
blob 182 ->	 a=    104	 p=   80.18 (    0.00 extern)	 pconvex=   48.03	 ext=0	 c=4.94	 l=   37.32
blob 183 ->	 a=    112	 p=   78.18 (    0.00 extern)	 pconvex=   48.35	 ext=0	 c=4.32	 l=   35.96
blob 184 ->	 a=    125	 p=   76.77 (    0.00 extern)	 pconvex=   48.86	 ext=0	 c=3.75	 l=   34.79
blob 185 ->	 a=    182	 p=   49.80 (    0.00 extern)	 pconvex=   49.26	 ext=0	 c=1.08	 l=   14.62
blob 186 ->	 a=    122	 p=   79.60 (    0.00 extern)	 pconvex=   49.31	 ext=0	 c=4.13	 l=   36.45
blob 187 ->	 a=    130	 p=   79.60 (    0.00 extern)	 pconvex=   49.80	 ext=0	 c=3.88	 l=   36.21
blob 188 ->	 a=    120	 p=   78.18 (    0.00 extern)	 pconvex=   48.92	 ext=0	 c=4.07	 l=   35.75
blob 189 ->	 a=    118	 p=   79.94 (    0.00 extern)	 pconvex=   49.29	 ext=0	 c=4.31	 l=   36.76
blob 190 ->	 a=    112	 p=   78.18 (    0.00 extern)	 pconvex=   48.09	 ext=0	 c=4.36	 l=   35.99
blob 191 ->	 a=    112	 p=   79.84 (    0.00 extern)	 pconvex=   48.50	 ext=0	 c=4.55	 l=   36.90
